HERD;COWS;DIM;KGMILK;FPCM;FAT;PROTEIN;KGFP;AGE;AGE_YEAR
Herd 1;56;167;32,2;33,147968;41,9;34,4;2,5;3,07;3,5833
Herd 2;153;126;27,5;29,1555;44,5;34,5;2,2;4;4
Herd 4;47;165;40,1;40,350224;39,9;34,4;3;3,06;3,5
Herd 5;54;136;31,9;33,381436;42,9;35,3;2,5;4;4
Herd 9;225;200;27,3;28,702128;42,6;36,7;2,2;3,05;3,416666
Herd 10;79;165;32;32,75392;41,6;34;2,4;3,06;3,5
Herd 11;211;187;28,8;30,351744;42,3;37,7;2,3;3,1;3,8333
Herd 12;143;193;28,5;29,7084;42,5;35,4;2,2;NA;NA
Herd 14;117;189;29,2;31,906256;45,8;37,4;2,4;3,09;3,75
Herd 15;106;206;27,9;29,844072;44,8;35,5;2,2;3,02;3,166666
Herd 17;94;192;29,4;30,222024;41,1;35,7;2,3;3,01;3,08333
Herd 19;161;187;31,6;31,414192;38,7;34,7;2,3;3,05;3,416666
Herd 20;179;176;33,2;34,531984;42,2;35,6;2,6;3,08;3,666666
Herd 21;67;167;31,1;33,605416;46,1;34,8;2,5;4,05;4,416666
Herd 22;75;168;34,2;34,700688;41,4;32,9;2,5;4;4
Herd 23;74;206;29;30,81888;44,2;35,5;2,3;3,06;3,5
Herd 24;114;164;33,3;34,015284;40,8;35,2;2,5;3,07;3,5833
Herd 25;98;182;29,7;32,356368;46,4;35,7;2,4;3,04;3,333333
Herd 18;68;201;26,8;32,121408;54,1;39;2,5;3,04;3,333333
Herd 26;253;181;29,4;30,741816;43,4;34,2;2,3;3,03;3,25
Herd 29;113;155;25,5;25,45104;39,3;34,2;1,9;3,06;3,5
Herd 31;123;188;32,5;34,0158;42,4;36,3;2,6;3,11;3,916666
Herd 33;196;181;31;33,36592;44,7;36,8;2,5;3,06;3,5
Herd 34;144;151;30,7;31,896072;42,1;35,6;2,4;3,05;3,416666
Herd 36;96;173;31,8;34,201536;45,2;35,7;2,6;3,1;3,8333
Herd 37;489;172;31,6;32,065152;39,7;36,2;2,4;3,03;3,25
Herd 38;536;171;30,5;30,00346;37,7;34,9;2,2;3,09;3,75
Herd 39;260;174;31,2;31,941312;41,1;35;2,4;3,04;3,333333
Herd 40;237;168;30,1;31,555636;42,6;36,2;2,4;3,06;3,5
Herd 41;134;191;32,6;33,431952;41,2;35,1;2,5;3,01;3,083333
Herd 43;241;194;25,5;27,4584;45;36,3;2,1;3,05;3,416666
Herd 44;227;185;38,4;37,650432;38,3;33,2;2,7;4;4
Herd 46;531;174;32,4;32,528304;39,6;34,6;2,4;3,04;3,333333
Herd 48;197;153;36,6;37,462296;41,6;34;2,8;3,09;3,75
Herd 49;83;165;30,3;31,337472;41,9;35,2;2,3;3,05;3,416666
Herd 50;95;136;29,8;32,253136;46,2;34,9;2,4;3,09;3,75
Herd 51;104;182;31,1;32,35644;41,5;37;2,4;3,05;3,416666
Herd 52;81;190;24,8;25,371392;41,4;34,3;1,6;NA;NA
Herd 53;130;221;26,5;28,00838;43,7;35,5;2,1;4,01;4,083333
Herd 54;73;137;37,6;37,655648;39,8;33,8;2,8;4,01;4,083333
Herd 55;81;219;33,8;34,012264;39,8;34,6;2,5;3,08;3,666666
Herd 56;109;164;31,9;32,470372;40,8;34,6;2,4;3,04;3,333333
Herd 57;147;141;30;31,0572;42,4;34,4;2,3;3,07;3,5833
Herd 58;158;173;30,7;33,575976;46,3;36,6;2,5;3,1;3,8333
Herd 59;169;214;28,1;30,093976;44,6;36,1;2,3;3,05;3,416666
Herd 60;115;175;34,9;36,501212;42,8;35,4;2,7;3,07;3,5833
Herd 62;210;158;31,5;33,42276;43,9;35,8;2,5;3,06;3,5
Herd 63;189;162;28,3;30,36024;44,5;36,6;2,2;3,08;3,666666
Herd 64;162;153;29,5;32,34026;47,3;35,1;2,4;3,06;3,5
Herd 65;63;172;31,2;32,262048;42,4;34,2;2,4;3,07;3,5833
Herd 66;72;191;30;34,2192;50,4;36,5;2,6;3,09;3,75
Herd 67;138;235;29,2;30,355152;42,1;35,7;2,3;3,01;3,083333
Herd 69;84;153;32,3;33,823268;42,6;36;2,5;3,08;3,666666
Herd 71;189;165;33,5;34,67786;42,6;34;2,6;4,01;4,083333
